Collection,Slug,Plan name,Width (ft),Depth (ft),Livable sq ft,Filename to use,Status,Note
affordable-homes-adus,absolute,Absolute,43,18,774,absolute_43x18.png,MISSING WIDTH on site — please confirm,width derived from sq ft
affordable-homes-adus,barton,Barton,34,20,680,barton_34x20.png,OK,
affordable-homes-adus,birchwood,Birchwood,30,22,660,birchwood_30x22.png,MISSING WIDTH on site — please confirm,width derived from sq ft
affordable-homes-adus,bungalo,Bungalo,20.01,80,1601,bungalo_20.01x80.png,MISSING WIDTH on site — please confirm,width derived from sq ft
affordable-homes-adus,cabin-10-12,Cabin,,,384,cabin-10-12_<W>x<D>.png,MISSING BOTH — please supply,
affordable-homes-adus,cabin-4-12,Cabin,,,384,cabin-4-12_<W>x<D>.png,MISSING BOTH — please supply,
affordable-homes-adus,cabin-parapet,Cabin,,,384,cabin-parapet_<W>x<D>.png,MISSING BOTH — please supply,
affordable-homes-adus,callahan,Callahan,27.78,36,1000,callahan_27.78x36.png,MISSING WIDTH on site — please confirm,width derived from sq ft
affordable-homes-adus,carlsbad-contemporary-1bed1bath,Yoke Contemporary 1-Bed/1-Bath,22.83,43.33,671,carlsbad-contemporary-1bed1bath_22.83x43.33.png,OK,
affordable-homes-adus,carlsbad-contemporary-2bed2bath,Yoke Contemporary 2-Bed/2-Bath,24.08,43.83,790,carlsbad-contemporary-2bed2bath_24.08x43.83.png,OK,
affordable-homes-adus,carlsbad-contemporary-3bed2bath,Yoke Contemporary 3-Bed/2-Bath,29.58,47.67,985,carlsbad-contemporary-3bed2bath_29.58x47.67.png,OK,
affordable-homes-adus,carlsbad-contemporary-studio,Yoke Contemporary Studio,22.92,23.92,400,carlsbad-contemporary-studio_22.92x23.92.png,OK,
affordable-homes-adus,carlsbad-farmhouse-1bed1bath,Yoke Farmhouse 1-Bed/1-Bath,23.58,45.5,671,carlsbad-farmhouse-1bed1bath_23.58x45.5.png,OK,
affordable-homes-adus,carlsbad-farmhouse-2bed2bath,Yoke Farmhouse 2-Bed/2-Bath,23.83,49.67,790,carlsbad-farmhouse-2bed2bath_23.83x49.67.png,OK,
affordable-homes-adus,carlsbad-farmhouse-3bed2bath,Yoke Farmhouse 3-Bed/2-Bath,29.58,53.33,985,carlsbad-farmhouse-3bed2bath_29.58x53.33.png,OK,
affordable-homes-adus,carlsbad-farmhouse-studio,Yoke Farmhouse Studio,17.08,29.92,400,carlsbad-farmhouse-studio_17.08x29.92.png,OK,
affordable-homes-adus,carlsbad-spanish-1bed1bath,Yoke Spanish 1-Bed/1-Bath,22.33,45.42,670,carlsbad-spanish-1bed1bath_22.33x45.42.png,OK,
affordable-homes-adus,carlsbad-spanish-2bed2bath,Yoke Spanish 2-Bed/2-Bath,23.58,34.83,788,carlsbad-spanish-2bed2bath_23.58x34.83.png,OK,
affordable-homes-adus,carlsbad-spanish-3bed2bath,Yoke Spanish 3-Bed/2-Bath,29.58,47.67,985,carlsbad-spanish-3bed2bath_29.58x47.67.png,OK,
affordable-homes-adus,carlsbad-spanish-studio,Yoke Spanish Studio,22.75,29.83,400,carlsbad-spanish-studio_22.75x29.83.png,OK,
affordable-homes-adus,chino-craftsman-1bed1bath,Hamilton Craftsman 1-Bed/1-Bath,26.5,46.08,746,chino-craftsman-1bed1bath_26.5x46.08.png,OK,
affordable-homes-adus,chino-craftsman-2bed2bath,Hamilton Craftsman 2-Bed/2-Bath,37.08,43.75,998,chino-craftsman-2bed2bath_37.08x43.75.png,OK,
affordable-homes-adus,chino-craftsman-studio,Hamilton Craftsman Studio,19.5,32.5,497,chino-craftsman-studio_19.5x32.5.png,OK,
affordable-homes-adus,chino-ranch-1bed1bath,Hamilton Ranch 1-Bed/1-Bath,25.83,45.08,746,chino-ranch-1bed1bath_25.83x45.08.png,OK,
affordable-homes-adus,chino-ranch-2bed2bath,Hamilton Ranch 2-Bed/2-Bath,37.08,44,998,chino-ranch-2bed2bath_37.08x44.png,OK,
affordable-homes-adus,chino-ranch-studio,Hamilton Ranch Studio,19.5,32.5,497,chino-ranch-studio_19.5x32.5.png,OK,
affordable-homes-adus,chino-spanish-1bed1bath,Hamilton Spanish 1-Bed/1-Bath,19.5,38.25,746,chino-spanish-1bed1bath_19.5x38.25.png,OK,
affordable-homes-adus,chino-spanish-2bed2bath,Hamilton Spanish 2-Bed/2-Bath,37.08,37.33,998,chino-spanish-2bed2bath_37.08x37.33.png,OK,
affordable-homes-adus,chino-spanish-studio,Hamilton Spanish Studio,19.5,25.5,497,chino-spanish-studio_19.5x25.5.png,OK,
affordable-homes-adus,contempo,Contempo,31,27.67,1417,contempo_31x27.67.png,OK,
affordable-homes-adus,encinitas-1bed1bath-a,Hunter 1-Bed/1-Bath A,27.58,31.92,555,encinitas-1bed1bath-a_27.58x31.92.png,OK,
affordable-homes-adus,encinitas-1bed1bath-b,Hunter 1-Bed/1-Bath B,27.58,31.92,555,encinitas-1bed1bath-b_27.58x31.92.png,OK,
affordable-homes-adus,encinitas-1bed1bath-c,Hunter 1-Bed/1-Bath C,27.58,31.92,555,encinitas-1bed1bath-c_27.58x31.92.png,OK,
affordable-homes-adus,encinitas-2bed2bath-a,Hunter 2-Bed/2-Bath A,27.58,32,745,encinitas-2bed2bath-a_27.58x32.png,OK,
affordable-homes-adus,encinitas-2bed2bath-b,Hunter 2-Bed/2-Bath B,27.58,32,745,encinitas-2bed2bath-b_27.58x32.png,OK,
affordable-homes-adus,encinitas-2bed2bath-c,Hunter 2-Bed/2-Bath C,27.58,32,745,encinitas-2bed2bath-c_27.58x32.png,OK,
